,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
1534,Egeria densa,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,submerged,,,toothed,pointed,>3 times as long as wide,parallel-sided,sessile,,,,,,,,,
1535,Eupatorium cannabinum,,,,,,,,45.21797763,22.69290495,,,,,,,simple,,,,,2.017111208,,aestival,,8.38E-02,,,,toothed,pointed,>3 times as long as wide,rounded,petiolate,,,,,,,,,
1536,Iberis amara,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,sessile,,,,,,,,,
1537,Inula helenium,,,,,,,,,,,,,,,,simple,,,,,,,aestival,,,,,,toothed,pointed,3 times as long as wide,cordate,petiolate,,,,,,,,,
1538,Leontodon saxatilis,,,,,,,,,,,,,,,,simple,,,,,,,evergreen,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1539,Lepidium campestre,,,,,,,,,,,,,,,,simple,,,,,,,hibernal,,,,,,toothed,pointed,1-3 times as long as wide,sagittate,petiolate,,,,,,,,,
1540,Lepidium draba,,,,,,,,,,,,,,,,simple,,,,,,0.0,aestival,,,,,,toothed,pointed,1-3 times as long as wide,sagittate,clasping,,,,,,,,,
1541,Lepidium heterophyllum,,,,,,,,,,,,,,,,simple,,,,,,,evergreen,,,,,,toothed,pointed,1-3 times as long as wide,sagittate,petiolate,,,,,,,,,
1542,Ochagavia carnea,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3x as long as broad,,sessile,,,,,,,,,
1543,Oenanthe pimpinelloides,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1544,Oenothera glazioviana,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1545,Polypodium cambricum,,,,,,,,,,,,,,,,compound,,,Dec-24,,,62.5,semi-evergreen,,,,,,toothed,rounded,1-3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
1546,Polypodium interjectum,,,,,,,,,,,,,,,,compound,,,Dec-24,,,125.0,semi-evergreen,,,,,,toothed,rounded,>3 times as long as wide,parallel-sided,petiolate,,,,,,,,,
1547,Polystichum setiferum,,,,,,,,,,,,,,,,compound,,,Dec-24,,2.109,280.0,semi-evergreen,,,,,,toothed,aristate,>3 times as long as wide,cuneate,petiolate,0.11,296.2551362,,,,,,,
1548,Ranunculus arvensis,,,,,,,,,,,,,,,,compound,,,,,,0.0,,,,,,,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1549,Rorippa austriaca,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,,,,,,,,,,,,,
1550,Saxifraga spathularis,,,,,,,,,,,,,,,,simple,,,,,,,evergreen,,,,,,toothed,pointed,length = width,cuneate,petiolate,,,,,,,,,
1551,Taraxacum ceratolobum,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1552,Taraxacum faeroense,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1553,Taraxacum obliquum,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1554,Taraxacum palustre,,,,,,,,,,,,,,,,simple,,,,,,,,,,,,,toothed,pointed,>3 times as long as wide,cuneate,petiolate,,,,,,,,,
1555,Veronica catenata,,,,,,,,,,,,,,,,simple,,,,,,0.0,,,,,,,toothed,pointed,>3 times as long as wide,rounded,petiolate,,,,,,,,,
1556,Viola arvensis,,,,,,,,,,,,,,,,simple,,,,,,,semi-evergreen,,,,,,toothed,rounded,1-3 times as long as wide,cuneate,petiolate,,,,,,,,,
1557,Lycium barbarum,,748.5903615,,,1.741944432,01-Oct,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,,,,5.024096386,83.4,,,
1558,Prunus mahaleb,,494.7983368,,,1.64402771,01-Oct,,,,,,,,,,simple,231.445,,,,2.206765,,,,,,,,,,,,,,,,,3.320794207,76.8555,,,
1559,Vinca major,,,,,3.219583273,01-Oct,,,,,,,,,,,,,,,,,evergreen,,,,,,,,,,,,,,,,,,,
1560,Cymbalaria pallida,,,,,,01-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561,Cynosurus echinatus,,,,,,01-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,371.9413635,,,,,,,
1562,Phleum bertolonii,,,,,,01-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,Polygonum maritimum,,,,,,01-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,Wolffia arrhiza,,1291.587837,,,1.939166665,<0.1,,,,,,,,,,absent,103.43,,,,,,,,,floating,,,,,,,,,,,,8.668374746,89.657,,,
1565,Erica lusitanica,,,,,,<0.1,,,,,,,,,,,,,,,,,evergreen,,,,,,,,,,petiolate,,,,,,,,,
1566,Lemna minuta,,,,,,<0.1,,,,,,,,,,absent,,,,,,,,,,floating,,,,,,,,,,,,,,,,
1567,Gunnera tinctoria,,,,,,>1000,,,,,,,,,,simple,,,,,,1500.0,,,,,,,,,length = width,,petiolate,,,,,,,,,
1568,Petasites japonicus,,,,,,>1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Sedum sexangulare,,1218.850913,,,1.644166589,0.1-1,,,,,,,,,,,108.93,,,,,,,,,,,,,,,,,,,,,8.180207473,89.107,,,
1570,Hypericum canadense,,463.39,,,1.606527805,0.1-1,,,,,,,,,,,243.3090024,,,,,,,,,,,,,,,,,,,,,3.11,75.66909976,,,
1571,Polycarpon tetraphyllum,,,,,0.784444451,0.1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Petrorhagia nanteuilii,,,,,0.874305546,0.1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Silene italica,,,,,1.0,0.1-1,,43.125,22.48435871,,,,,,,,,,,,1.918,,,,0.163,,,,,,,,,,,,,,,,,
1574,Cotoneaster horizontalis,,,,,3.219583273,0.1-1,,,,,,,,,,,,,,,,,semi-evergreen,,,,,,,,,,,,,,,,,,,
1575,Lampranthus falciformis,,,,,,0.1-1,,,,,,,,,,,,,,,,0.0,,,,,,,,mucronate,,,sessile,,,,,,,,,
1576,Lemna gibba,,,,,,0.1-1,,,,,,,,,,absent,,,,,,,,,,floating,,,,,,,,,,,,,,,,
1577,Lemna minor,,,,,,0.1-1,,,,,,,,,,absent,,,,,,,semi-evergreen,,,floating,,,,,,,,,,,,,,,,
1578,Lemna trisulca,,,,,,0.1-1,,,,,,,,,,absent,,,,,,,semi-evergreen,,,submerged,,,,,,,,,,,,,,,,
1579,Muehlenbeckia complexa,,,,,,0.1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,petiolate,,,,,,,,,
1580,Silene uniflora,,,,,,0.1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Spirodela polyrhiza,,,,,,0.1-1,,,,,,,,,,absent,,,,,,,,,,floating,,,,,,,,,,,,,,,,
1582,Vaccinium macrocarpon,,,,,,0.1-1,,,,,,,,,,simple,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,Mespilus germanica,,389.1781406,,,2.132777691,10-100,,,,,,,,,,simple,276.86,,,,,,,,,,,,,,,,,,,,,2.611933829,72.314,,,
1584,Prunus serotina,,387.4,,,2.207777739,10-100,,47.09325,17.60257305,,,,,,,,277.7777778,,,,2.556,,aestival,,0.14,,,,,,,,,0.122,483.4862385,,,2.6,72.22222222,,,
1585,Potentilla recta,,314.6644737,,,1.557500005,10-100,,,,,,,,,,,321.3530655,,,,,,,,,,,,,,,,,,,,,2.111842105,67.86469345,,,
1586,Robinia pseudoacacia,,298.5374528,,,1.88284725,10-100,,48.03,10.97698961,,,,,,,,332.9449017,,,,4.33,,,,0.154666667,,,32.0,,,,,,0.1155,432.0229008,,,2.003607066,66.70550983,,,
1587,Populus balsamifera,,,,,2.114861012,10-100,,,,,,,,,,simple,,,,,2,,,,0.29,,,,,,,,petiolate,,,,,,,,,
1588,Calystegia pulchra,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Calystegia silvatica,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,Chimonobambusa quadrangularis,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,Geranium endressii,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,Homogyne alpina,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,Lysimachia punctata,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,Ornithogalum nutans,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595,Rhododendron luteum,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,Trachystemon orientalis,,,,,,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,petiolate,,,,,,,,,
1597,Petasites albus,,1165.938398,,,2.547222138,100-1000,,,,,,,,,,,113.375,,,,,,,,,,,,,,,,,,,,,7.825089917,88.6625,,,
1598,Sedum dasyphyllum,,5754.328051,,,1.446111083,,,,,,,,,,,,25.24,,,,,,,,,,,,,,,,,,,,,38.61965135,97.476,,,
1599,Allium paradoxum,,2833.385909,,,1.824722171,,,,,,,,,,,,49.96,,,,,,,,,,,,,,,,,,,,,19.01601281,95.004,,,
1600,Tradescantia fluminensis,,2152.869303,,,,,,,,,,,,,,,64.73,,,,,,,,,,,,,,,,,0.42,34.80466577,,,14.44878727,93.527,,,
1601,Scilla bifolia,,1811.268386,,,1.644166589,,,,,,,,,,,,76.01,,,,,,,,,,,,,,,,,,,,,12.15616366,92.399,,,
1602,Primula auricula,,1774.821821,,,2.547222138,,,,,,,,,,,,77.45,,,,,,,,,,,,,,,,,,,,,11.91155584,92.255,,,
1603,Amaranthus blitum,,1659.953879,,,1.616388917,,,,,,,,,,,,82.405,,,,,,,,,,,,,,,,,,,,,11.14063006,91.7595,,,
1604,Muscari botryoides,,1520.280753,,,1.644166589,,,,,,,,,,,,89.26,,,,,,,,,,,,,,,,,,,,,10.20322653,91.074,,,
1605,Azolla filiculoides,,1494.865843,,,1.421249986,,,,,,,,,,,,90.64,,,,,,,,,,,,,,,,,,,,,10.03265666,90.936,,,
1606,Salvia glutinosa,,1287.559969,,,1.446111083,,,,,,,,,,,,103.72,,,,,,,,,,,,,,,,,,,,,8.641342075,89.628,,,
1607,Calla palustris,,1286.696137,,,1.830694437,,,,,2.49,,,,,13.18,,105.925,,,,4.12,,,,,,,,,,,,,,,,,8.635544544,89.4075,,,
1608,Iris germanica,,1256.52778,,,1.575277805,,,,,,,,,,,,106.01,,,,1.531,,,,,,,,,,,,,0.21,833.4410898,,,8.433072352,89.399,,,
1609,Carduus pycnocephalus,,,,,1.285902798,,,36.69,23.0754717,,,,,,,,117.610517,,,,1.59,,,,,,,,,,,,,0.4475,156.158596,,,7.502640967,88.2389483,,,
1610,Oxalis debilis,,1097.027764,,,,,,,,,,,,,,,119.58,,,,,,,,,,,,,,,,,0.2,62.04089736,,,7.362602442,88.042,,,
1611,Saxifraga rotundifolia,,1012.315049,,,1.866805553,,,45.29361333,23.20366446,,,,,,,,128.3032532,,,,1.573153333,,,,,,,,,,,,,,,,,6.794060732,87.16967468,,,
1612,Cardamine heptaphylla,,951.6057025,,,2.444722176,,,,,,,,,,,,135.38,,,,,,,,,,,,,,,,,,,,,6.386615453,86.462,,,
1613,Eruca vesicaria,,922.6123188,,,,,,39.35308585,12.83001982,,,,,,,,139.0428212,,,,3.420464858,,,,,,,,,,,,,,,,,6.192028986,86.09571788,,,
1614,Asarum europaeum,,873.161736,,,1.904305577,,,,,,,,,,,,145.825,,,,,,,,,,,,,,,,,,,,,5.860145879,85.4175,,,
1615,Camelina microcarpa,,868.2731617,,,1.103888869,,,38.786,7.497776919,,,,,,,,146.47,,,,5.173,,,,,,,,,,,,,0.33,153.2976827,,,5.827336656,85.353,,,
1616,Bassia scoparia,,851.3991779,,,0.70194447,,,36.84145277,10.01467086,,,,,,,,148.9405462,,6,,3.577,,,,0.025,,,,,,,,,0.2855,230.0,,,5.714088442,85.10594538,,,
1617,Parietaria officinalis,,850.9365802,,,2.132777691,,,,,,,,,,,,149.13,,,,,,,,,,,,,,,,,,,,,5.71098376,85.087,,,
1618,Eleocharis acicularis,,842.0209511,,,1.830694437,,,,,,,,,,,absent,150.35,,,,,,,,,,,,,,,,,,,,,5.651147323,84.965,,,
1619,Pilosella aurantiaca,,831.3708791,,,1.557500005,,,,,,,,,,,,151.9832985,,,,,,,,,,,,,,,,,,,,,5.57967033,84.80167015,,,
1620,Campanula rapunculus,,830.6830824,,,1.47777772,,,,,,,,,,,,152.09,,,,,,,,,,,,,,,,,,,,,5.575054244,84.791,,,
1621,Crepis tectorum,,786.6211735,,,1.557500005,,,,,,,,,,,,159.2614844,,18,,1.199253845,,,,,,,,,,,,,,,,,5.279336735,84.07385156,,,
1622,Pilosella caespitosa,,769.8333333,,,1.557500005,,,,,,,,,,,,162.1753247,,,,,,,,,,,,,,,,,,,,,5.166666667,83.78246753,,,
1623,Celastrus orbiculatus,,737.8601832,,,1.989027739,,,78.72289157,27.84580953,,,,,,,,168.0084447,,,,2.85,,,,0.449304697,,,,,,,,,,,,,4.952081767,83.19915554,,,
1624,Agave americana,,,,,0.659444451,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,,,1.62,146.6232662,,,4.882352941,83.0,,,
1625,Digitalis lutea,,719.8046647,,,2.3125,,,,,,,,,,,,171.5,,,,,,,,,,,,,,,,,,,,,4.83090379,82.85,,,
1626,Corispermum intermedium,,719.3995804,,,,,,,,,,,,,,,171.58,,,,,,,,,,,,,,,,,,,,,4.828185103,82.842,,,
1627,Digitaria sanguinalis,,710.4335814,,,1.246111095,,,40.9465,21.16549057,,,,,,,,173.37,,,,1.369,,,,,,,,,,,,,0.11,243.8174852,,,4.768010613,82.663,,,
1628,Astrantia major,,701.0430958,,,2.013333321,,,47.50666667,10.84627093,,,,,,,,175.585,,,,4.38,,,,0.283374921,,,,,,,,,,,,,4.70498722,82.4415,,,
1629,Carum carvi,,698.2648698,,,2.339791596,,,40.8,20.50251256,,,,,,,,175.86,,,,1.99,,,,0.1851,,,,,,,,,,,,,4.686341408,82.414,,,
1630,Lupinus angustifolius,,686.0613686,,,1.12166667,,,,,,,,,,,,178.43,,,,4.42,,,,,,,,,,,,,0.24,160.4353574,,,4.604438716,82.157,,,
1631,Vicia tenuifolia,,685.0797134,,,1.446111083,,,,,,,,,,,,178.64,,,,,,,,,,,,,,,,,,,,,4.597850425,82.136,,,
1632,Salsola kali,,679.4340932,,,0.452500016,,,37.69358313,13.93344745,,,,,,,,179.8573975,,6,,2.70525893,,,,0.1175,,,,,,,,,,,,,4.559960357,82.01426025,,,
1633,Campanula persicifolia,,674.9924623,,,1.768472195,,,45.9,22.95,,,,,,,,180.8268969,,,,2,,,,,,,,,,,,,,,,,4.530150754,81.91731031,,,
1634,Bidens frondosa,,650.8282248,,,1.586944461,,,,,,,,,,,,186.29,,,,,,,,,,,,,,,,,0.08,280.0,,,4.367974663,81.371,,,
1635,Falcaria vulgaris,,648.7158029,,,1.36722219,,,,,,,,,,,,186.845,,,,,,,,,,,,,,,,,,,,,4.353797335,81.3155,,,
1636,Erodium brachycarpum,,,,,1.392500043,,,42.4,30.72463768,,,,,,,,186.934343,,,,1.38,,,,,,,,,,,,,,,,,4.34947182,81.3065657,,,
1637,Senecio inaequidens,,659.8057151,,,,,,,,,,,,,,,187.29,,,,,,,,,,,,,,,,,,,,,4.428226276,81.271,,,
1638,Torilis arvensis,,606.6547317,,,1.103888869,,,37.659,18.71719682,,,,,,,,197.18,,,,2.012,,,,,,,,,,,,,0.13,260.0,,,4.071508267,80.282,,,
1639,Artemisia annua,,608.9128136,,,1.377916694,,,,,,,,,,,,197.77,,,,,,,,,,,,,,,,,,,,,4.086663178,80.223,,,
1640,Aruncus dioicus,,582.0826447,,,2.547222138,,,,,,,,,,,,203.835,,,,,,,,,,,,,,,,,,,,,3.906594931,79.6165,,,
1641,Salvia verticillata,,575.4582324,,,1.452083349,,,,,,,,,,,,205.695,,,,,,,,,,,,,,,,,,,,,3.862135788,79.4305,,,
1642,Thalictrum aquilegiifolium,,573.5293376,,,1.548472166,,,,,,,,,,,,206.22,,,,,,,,,,,,,,,,,,,,,3.849190185,79.378,,,
1643,Lathyrus tuberosus,,564.840847,,,2.013333321,,,,,,,,,,,,208.73,,,,,,,,,,,,,,,,,,,,,3.790878168,79.127,,,
1644,Rudbeckia hirta,,561.9891304,,,1.557500005,,,,,,,,,,,,209.5671982,,,,4.710307,,,,,,,32.13275,,,,,,0.24,170.0,,,3.77173913,79.04328018,,,
1645,Ulmus laevis,,552.915728,,,1.492708325,,,,,,,,,,,,212.33,,,,,,,,,,,,,,,,,,,,,3.710843812,78.767,,,
1646,Onoclea sensibilis,,550.5305164,,,1.674722195,,,44.34262948,15.9,,,,,,7.964143426,,213.0,,6,,2.788844622,,,,,,,,,,,,,,,,,3.694835681,78.7,,,
1647,Artemisia dracunculus,,547.4536967,,,1.429861069,,,47.0295,16.85133623,1.61,,,,,6.97,,216.1,,,,1.358,,,,0.264,,,,,,,,,,,,,3.674185884,78.39,,,
1648,Melilotus indicus,,,,,1.392500043,,,42.19,11.0156658,,,,,,,,216.281128,,,,3.83,,,,,,,,,,,,,,,,,3.623611913,78.3718872,,,
1649,Lathyrus heterophyllus,,536.7934262,,,2.444722176,,,,,,,,,,,,217.365,,,,,,,,,,,,,,,,,,,,,3.602640445,78.2635,,,
1650,Parthenocissus tricuspidata,,531.4665466,,,1.021319419,,,49.91596639,34.87547671,,,,,,,,218.967414,,,,1.431262626,,,,0.288623737,,,,,,,,,0.141,,,,3.566889574,78.1032586,,,
1651,Alnus incana,,524.3550253,,,1.582638919,,,59.87373568,18.60958373,,,,,,,,221.28,,,,3.217360289,,,,0.03,,,,,,,,,,,,,3.519161244,77.872,,,
1652,Crepis nicaeensis,,521.5,,,0.559305549,,,,,,,,,,,,222.2222222,,,,2.46840012,,,,,,,,,,,,,,,,,3.5,77.77777778,,,
1653,Parthenocissus inserta,,522.4857465,,,,,,,,,,,,,,,222.25,,,,,,,,,,,,,,,,,,,,,3.506615748,77.775,,,
1654,Symphyotrichum laeve,,520.7249514,,,1.557500005,,,40.746,31.4155744,,,,,,,,222.6382137,,,,1.297,,,,,,,,,,,,,0.253333333,235.5460686,,,3.494798331,77.73617863,,,
1655,Staphylea pinnata,,518.6977988,,,1.548472166,,,,,,,,,,,,223.24,,,,,,,,,,,,,,,,,,,,,3.481193281,77.676,,,
1656,Geranium nodosum,,515.2684464,,,1.768472195,,,41.805,21.86453975,,,,,,,,224.3071396,,,,1.912,,,,,,,,,,,,,,,,,3.458177493,77.56928604,,,
1657,Cornus mas,,508.1119114,,,1.200555563,,,,,,,,,,,,226.755,,,,,,,,,,,,,,,,,0.1585,,,,3.410147056,77.3245,,,
1658,Matteuccia struthiopteris,,505.3123134,,,1.819027781,,,55.17518133,16.77053133,,,,,,9.442553192,,227.72,,6,,3.290007947,,,,,,,22.91666667,,,,,,0.0901,266.3706992,,,3.391357808,77.228,,,
1659,Vicia villosa,,771.0370485,,,1.555208385,,,39.4545,10.17136637,,,,,,,,228.6618325,,,,4.768,,,,,,,32.102,,,,,,0.13,272.1893491,,,3.780143733,77.13381675,,,
1660,Arabidopsis arenosa,,502.6409335,,,,,,,,,,,,,,,228.7,,,,,,,,,,,,,,,,,,,,,3.373429084,77.13,,,
1661,Equisetum arvense,,500.2503022,,,1.533333302,,,34.9490624,18.36073538,1.05,,,2.9,,4.35,simple,229.6661995,,,,1.683777056,,,,0.238267888,,,8.163265306,,,,,,0.2901,337.8145467,,,3.357384578,77.03338005,,,
1662,Ambrosia psilostachya,,499.297758,,,1.359861136,,,40.2831,18.7747649,,,,,,,,231.15,,,,1.877,,,,0.568,,,,,,,,,0.17,670.0,,,3.350991665,76.885,,,
1663,Ambrosia artemisiifolia,,492.8988506,,,1.557500005,,,41.126,12.33533293,,,,,,,,232.1237994,,,,3.334,,,,,,,26.1,,,,,,0.2,310.0,,,3.308045977,76.78762006,,,
1664,Erigeron annuus,,490.4849785,,,1.557500005,,,38.666,10.85513756,,,,,,,,233.0,,,,3.562,,,,,,,,,,,,,0.22,129.585327,,,3.291845494,76.7,,,
1665,Ficus carica,,489.9206797,,,0.890138894,,,36.8525,11.9556962,,,,,,3.571176313,,233.2057871,,,,3.16,,,,0.21,,,,,,,,,,,,,3.288058253,76.67942129,,,
1666,Alchemilla mollis,,484.718952,,,2.167916536,,,,,,,,,,,,235.12,,,,,,,,,,,,,,,,,,,,,3.253147329,76.488,,,
1667,Berteroa incana,,476.5301811,,,1.557500005,,,,,,,,,,,,238.239324,,,,2.229818229,,,,,,,,,,,,,,,,,3.198189135,76.1760676,,,
1668,Juncus effusus,,478.0755675,,,2.045833349,,,43.8355,27.88429126,,,,,,,absent,241.3069869,,,,Oct-20,,evergreen,,0.266,,,,,,,,,,,,,3.144173492,75.86930131,,,
1669,Aralia elata,,466.7302966,,,3.238888979,,,48.6699493,19.79323112,,,,,,,,241.989067,,6,,2.77,,,,0.358,,,,,,,,,,,,,3.132418098,75.8010933,,,
1670,Saxifraga paniculata,,460.3321883,,,2.307916641,,,,,,,,,,,,244.53,,,,,,,,,,,,,,,,,,,,,3.089477774,75.547,,,
1671,Acer negundo,,448.0284728,,,1.705000043,,,,,1.12,,,,,4.0,,249.5693368,,,,1.85,,,,0.457,,,,,,,,,0.126,524.4183829,,,3.006902502,75.04306632,,,
1672,Symphyotrichum lanceolatum,,447.5752896,,,1.557500005,,,41.319,34.95685279,,,,,,,,249.75892,,,,1.182,,,,,,,,,,,,,0.21,465.0,,,3.003861004,75.024108,,,
1673,Juncus filiformis,,445.9291276,,,1.87611115,,,,,,,,,,,absent,250.45,,,,,,,,,,,,,,,,,,,,,2.992812937,74.955,,,
1674,Trifolium hirtum,,,,,1.0,,,42.87,16.36884307,,,,,,,,255.552883,,,,2.816,,,,0.145,,,,,,,,,,,,,2.913084401,74.4447117,,,
1675,Griselinia littoralis,,428.7029373,,,3.839861274,,,,,,,,,,,,257.9180239,,,,0.966483,,,,0.092301811,,,,,,,,,0.565,,,,2.877200922,74.20819761,,,
1676,Sorbaria sorbifolia,,425.7321129,,,1.829583287,,,46.76914809,16.40280545,,,,,,,,260.5960803,,6,,2.93,,,,0.182,,,,,,,,,,,,,2.857262503,73.94039197,,,
1677,Euonymus latifolius,,422.2227467,,,1.891944408,,,40.261,23.64356603,,,,,,,,261.8334115,,,,1.953,,,,,,,,,,,,,,,,,2.83370971,73.81665885,,,
1678,Setaria viridis,,429.1508808,,,0.78236109,,,45.38141922,20.15838639,,,,,,,,267.7823914,,6,,0.557316119,,,,0.15098416,,,,,,,,,0.14,310.0,,,2.739657832,73.22176086,,,
1679,Iris sibirica,86.48685696,150.9210526,24.02098328,176.1470205,,,,,,,,,,,,,268.8679245,,,,,,,,,,,,,,,,,,,0.01955,1.269854068,2.719298246,73.11320755,0.43281051,3.17382019,13.51314304
1680,Juncus conglomeratus,,403.3428233,,,1.830694437,,,,,,,,,,,absent,269.76,,,,,,evergreen,,,,,,,,,,,,,,,2.706998814,73.024,,,
1681,Gentiana asclepiadea,,398.6531775,,,,,,,,,,,,,,,272.07,,,,,,,,,,,,,,,,,,,,,2.675524681,72.793,,,
1682,Bupleurum rotundifolium,,393.8446517,,,2.013333321,,,,,,,,,,,,274.48,,,,,,,,,,,,,,,,,,,,,2.643252696,72.552,,,
1683,Echinochloa crus-galli,,390.2904093,,,1.616388917,,,,,3.12,,,,,18.2,,277.7697643,,,,,,,,,,,,,,,,,,,,,2.61939872,72.22302357,,,
1684,Solidago rugosa,,367.4660227,,,1.674722195,,,,,,,,,,,,288.5,,,,,,,,,,,,,,,,,,,,,2.466214917,71.15,,,
1685,Potentilla intermedia,,367.7199581,,,,,,,,,,,,,,,289.86,,,,,,,,,,,,,,,,,,,,,2.467919182,71.014,,,
1686,Juncus inflexus,,364.4769231,,,1.606527805,,,,,,,,,,,absent,290.1785714,,,,,,evergreen,,,,,,,,,,,,,,,2.446153846,70.98214286,,,
1687,Quercus rubra,,356.7605634,,,2.509166718,,,49.51638,22.01381908,,,,,,,,294.6058091,,,,2.2,,,,0.152666667,,,13.732792,,,,,,0.119,547.8991597,,,2.393162393,70.52896725,,,
1688,Herniaria hirsuta,,353.8687141,,,1.616388917,,,,,,,,,,,,296.3,,,,,,,,,,,,,,,,,,,,,2.374957813,70.37,,,
1689,Rosmarinus officinalis,,353.3285233,,,0.427361101,,,50.40196349,38.47477835,,,,,,0.584326567,,296.6186573,,,,1.275,,,,0.07,,,,,,,,,0.76,284.8344224,,,2.371332371,70.33813427,,,
1690,Genista hispanica,,349.2277804,,,2.431666613,,,28.89,,,,,,,,,299.06,,,,3.133,,,,,,,,,,,,,0.12,391.2363067,,,2.343810607,70.094,,,
1691,Veronica longifolia,82.8355714,129.0656605,26.806615,157.3374253,1.292638898,,,,,1.99,,,,,8.78,,300.7060983,,,,1.744680176,,,,,,,,,,,,,,,0.0277,1.79563949,2.325507396,69.92939017,0.483002072,2.834908563,17.1644286
1692,Eragrostis cilianensis,,336.6496152,,,1.103888869,,,45.5189726,16.4075751,,,,,,,,306.8055556,,6,,2.604484532,,,,0.212723304,,,,,,,,,0.12,330.0,,,2.259393391,69.31944444,,,
1693,Calamagrostis purpurea,,331.9244077,,,,,,,,1.16,,,,,5.42,,309.82,,,,,,,,,,,,,,,,,,,,,2.227680589,69.018,,,
1694,Setaria faberi,,330.3590541,,,1.557500005,,,,,,,,,,,,310.8317215,,,,,,,,,,,,,,,,,,,,,2.21717486,68.91682785,,,
